feature,importance
volatility_20,0.06565715000823208
volume,0.03797032451706317
atr_14,0.0362164941933059
return_1,0.026309549569605437
distance_to_resistance,0.025013623389033818
distance_to_swing_high,0.024465525188948036
distance_to_support,0.022928719100763148
bos_volume_ratio,0.02211267804588994
distance_to_swing_low,0.021632785456563677
fvg_v2_distance,0.0203955628080014
distance_to_equilibrium,0.02031728259446858
rsi_14,0.01829340480915588
distance_to_bos,0.017702370446139013
minute,0.017268664514780385
is_swing_high,0.017100914725795106
is_swing_low,0.01635318098005844
ema_200,0.016092980162665273
nfp,0.014328734075029666
market_structure_score,0.014073483405734206
ema_50,0.013941663876701869
hour,0.013768719898420718
close,0.013528605433756623
ema_20,0.013453196339605534
low,0.013244961884626196
adj_close,0.012992886547639233
open,0.012635633643449818
support_price,0.012514141710077907
timeframe_code,0.012290982388531721
cpi,0.012244945952995162
range_low,0.012217833231178104
previous_swing_low,0.012142684153072082
last_swing_low,0.012042601404104984
day,0.011844234859019524
high,0.011834256135810477
last_ob_bottom,0.01142332659448171
equilibrium_price,0.011170580807852543
last_ob_top,0.01056996426002338
week,0.010310595935988895
last_bos_price,0.01022630994379652
ob_lifecycle_age,0.00998231740930237
fvg_v2_age,0.00995843627996986
range_high,0.00986634099127705
resistance_price,0.009630854353646476
fed_rate,0.009531003963472954
last_swing_high,0.009481047969960292
previous_swing_high,0.009467928708706299
liquidity_pool_distance,0.008027304576174281
ob_lifecycle_touch_count,0.007252370515372674
liquidity_pool_age,0.00720823684024388
day_of_week,0.006805053384798588
lower_high,0.006509087820298194
higher_low,0.006188966689851805
buy_setup_score,0.006165192250924886
sell_setup_score,0.005711705479169179
month,0.005573190075917828
liquidity_pool_price,0.005445839256297367
lower_low,0.005429759823413193
ob_lifecycle_score,0.0054095278385473825
higher_high,0.0053204000769786815
session,0.004999353862037977
fvg_v2_fill_percent,0.004803635109708412
bos_strength_atr,0.0046471619722754124
fvg_size,0.004523367138035066
ob_v2_distance,0.004482617540960292
bos_strength_points,0.004351360920962066
bos_strength,0.004335486591207454
order_block_size,0.004301588922529174
ob_v2_size_atr,0.004195461155366152
ob_v2_size,0.004173547190644886
fvg_bottom,0.003988222510849122
fvg_top,0.003900258243945293
liquidity_sweep_strength,0.0038933478608164564
year,0.0037826079941540975
fvg_v2_score,0.0033641681670611443
liquidity_sweep,0.0028858350329778824
near_resistance,0.0028162312892419674
unemployment_rate,0.00263104904951673
liquidity_pool_score,0.002587749450012223
near_support,0.0025709385205712203
bos_price,0.0025679412083703624
liquidity_pool_direction,0.0025220163648183177
recent_liquidity_sweep_for_ob,0.002496288753496432
ob_v2_bottom,0.00232453486722507
order_block_bottom,0.002322398253543598
trend,0.0023115598017991747
bos_score,0.0022198742480815103
ob_v2_top,0.002213395481195556
ob_v2_midpoint,0.002199163696560176
order_block_top,0.0021781453187797828
ob_v2_mitigated,0.002173638738840457
new_york_session,0.0021436432910699617
choch_strength_atr,0.0020986937988251484
ob_lifecycle_mitigated,0.0020398212808772037
recent_fvg,0.001980022002005506
london_session,0.0019687999271923873
asian_session,0.001912985281914904
sell_side_sweep,0.0016746117189142477
fvg_v2_partial_fill,0.001648531233408375
ob_lifecycle_retested,0.0016044564922439726
discount_zone,0.0015607362932390093
fvg_v2_active,0.001418416168282028
fvg_v2_complete_fill,0.001417582113017664
fvg_direction,0.0013959235663116283
liquidity_pool_active,0.0013817912192027185
london_new_york_overlap,0.001362157573994287
liquidity_pool_strength,0.0013613512528644653
fvg,0.0013566762272643374
buy_side_sweep,0.0013301805590601155
premium_zone,0.0013085184994672604
ob_lifecycle_active,0.0012609891377909988
ob_lifecycle_invalidated,0.0012320100100028934
ob_v2_score,0.0010608549312047812
equilibrium_zone,0.0009979261437613914
asset_code,0.0008964498987727061
bos_v2_direction,0.0008784817423114124
bos,0.0008714605966501478
bos_v2,0.0008680631565428826
fvg_bullish,0.0007298998240169093
fvg_bearish,0.0006953806679206015
ob_v2_confluence_liquidity,0.000566681399034546
ob_v2_direction,0.0005630023985636899
bos_event,0.0005388654070993595
bos_bullish,0.0005213804649780646
ob_v2,0.0005099072440469888
choch_score,0.00046960797626820195
ob_v2_confluence_fvg,0.000462054985120001
order_block,0.00045016967619505806
bos_confirmed,0.0004241184427646015
bos_bearish,0.00041747226083269556
support_broken,0.0004030095217446077
resistance_broken,0.0004004984503111095
choch,0.0003886517628836888
choch_v2,0.00038704625280121594
choch_v2_direction,0.00038193659907851524
choch_event,0.0003485312352220915
choch_confirmed,0.0003278264806856282
trade_setup,0.00029557793215745343
choch_bullish,0.0002235337137465603
ob_v2_confluence_bos,0.0002224717242540832
choch_bearish,0.00017210384544666098
buy_setup,0.00015820413664476647
equal_high,0.00015226749427137118
equal_low,0.00015208616887144347
sell_setup,0.00013853152592996376
liquidity_pool_swept,0.00010898574064482043
choch_after_liquidity,0.0
