feature,importance
volatility_20,0.08511349
is_swing_high,0.059524212
bos_v2,0.051971793
is_swing_low,0.05139706
minute,0.026864825
low,0.02664768
bos,0.02162341
bos_event,0.019552955
liquidity_sweep,0.016896397
higher_high,0.016799746
sell_side_sweep,0.015538136
higher_low,0.015182086
lower_low,0.014780939
asset_code,0.014193176
near_support,0.013010055
nfp,0.012641856
buy_side_sweep,0.01264028
near_resistance,0.01239474
timeframe_code,0.012057727
support_price,0.012031748
lower_high,0.011791423
last_swing_low,0.0108272275
cpi,0.010764856
bos_bullish,0.010290111
adj_close,0.009489289
atr_14,0.008738018
volume,0.008175223
range_low,0.008078043
bos_volume_ratio,0.0078362655
hour,0.00740233
distance_to_support,0.007343471
return_1,0.006910442
last_bos_price,0.006657485
distance_to_swing_low,0.0066116774
ema_50,0.006483745
buy_setup_score,0.006412289
sell_setup_score,0.0063519725
distance_to_swing_high,0.0062893075
new_york_session,0.006268162
previous_swing_low,0.0061600623
bos_strength_points,0.006013824
distance_to_resistance,0.0057983585
fvg_bearish,0.005524926
fvg,0.0053611854
last_ob_top,0.005218537
ema_200,0.0051553436
last_ob_bottom,0.004954322
ema_20,0.0048844633
high,0.004842929
equilibrium_price,0.004827293
fvg_bullish,0.004672938
previous_swing_high,0.0046069333
last_swing_high,0.004408732
london_session,0.004403874
fed_rate,0.0043989816
london_new_york_overlap,0.0042488887
close,0.004228032
fvg_direction,0.004220383
bos_strength,0.0042108283
fvg_bottom,0.0042034606
discount_zone,0.0041744495
liquidity_sweep_strength,0.004106384
session,0.004098614
bos_price,0.0040027904
open,0.0039960793
distance_to_equilibrium,0.0039543146
bos_bearish,0.0037194304
year,0.0036981383
rsi_14,0.0036687986
day_of_week,0.0036296875
resistance_price,0.0036198997
fvg_top,0.0036077502
week,0.0035342795
ob_lifecycle_age,0.0034150912
asian_session,0.0034075403
liquidity_pool_strength,0.0033835568
equal_low,0.0033662685
unemployment_rate,0.0032855137
liquidity_pool_active,0.0032822185
bos_score,0.0032665858
ob_v2_confluence_fvg,0.0032140487
ob_v2_bottom,0.0032122692
liquidity_pool_price,0.0031705236
choch_bearish,0.0031640031
trade_setup,0.0031496887
distance_to_bos,0.0031226175
bos_strength_atr,0.0031223325
ob_lifecycle_mitigated,0.00309998
choch,0.0030942217
ob_v2_size_atr,0.0030832693
ob_lifecycle_retested,0.0030808176
choch_v2,0.0030744092
ob_v2_size,0.0030705011
day,0.0030520896
order_block_size,0.0030179915
ob_v2_score,0.0030143003
fvg_v2_distance,0.0030043377
ob_lifecycle_score,0.0030015206
ob_v2_distance,0.0029939665
choch_strength_atr,0.0029925096
order_block_bottom,0.0029715588
fvg_v2_age,0.0029532441
liquidity_pool_distance,0.0029456883
fvg_v2_fill_percent,0.0029422028
order_block_top,0.002937392
fvg_size,0.0029038289
month,0.002868013
choch_confirmed,0.0028441474
range_high,0.0028434698
ob_v2_midpoint,0.00278575
recent_liquidity_sweep_for_ob,0.0027510382
liquidity_pool_score,0.0027456302
ob_v2_confluence_liquidity,0.0027417792
fvg_v2_score,0.0027411762
choch_event,0.0027306085
liquidity_pool_age,0.002724026
liquidity_pool_direction,0.0027117715
market_structure_score,0.0027015836
buy_setup,0.002661869
ob_v2_mitigated,0.0026547436
trend,0.0026354773
equilibrium_zone,0.002625392
ob_lifecycle_touch_count,0.002623161
choch_score,0.0025511095
sell_setup,0.002543382
recent_fvg,0.0025331257
ob_v2_top,0.002490661
ob_lifecycle_active,0.0024423245
fvg_v2_partial_fill,0.0024330155
ob_lifecycle_invalidated,0.0024180012
equal_high,0.0023113303
liquidity_pool_swept,0.002221735
choch_bullish,0.002170048
premium_zone,0.002161328
order_block,0.002042825
choch_v2_direction,0.0019321709
fvg_v2_complete_fill,0.001920545
fvg_v2_active,0.0016495644
ob_v2_direction,0.0012546313
choch_after_liquidity,0.0
bos_v2_direction,0.0
bos_confirmed,0.0
ob_v2_confluence_bos,0.0
ob_v2,0.0
resistance_broken,0.0
support_broken,0.0
