feature,importance
volatility_20,0.06085873516080302
atr_14,0.03313616320802639
volume,0.03240673412324427
return_1,0.02682432075428852
distance_to_resistance,0.02403864524845347
distance_to_swing_high,0.023420688344741696
distance_to_swing_low,0.022364998560419926
bos_volume_ratio,0.022311390279210416
fvg_v2_distance,0.021401272081164376
distance_to_support,0.021148501392701823
distance_to_equilibrium,0.020462756642035677
minute,0.019510246289289306
rsi_14,0.019081456659790563
distance_to_bos,0.01823988185958333
ema_200,0.016189361050330305
ema_50,0.015558191868450923
market_structure_score,0.014884127936791263
is_swing_high,0.014471320844358133
hour,0.014250924676264987
low,0.01390817359024457
adj_close,0.01378366166336109
open,0.013620928801095172
is_swing_low,0.013473565661947946
ema_20,0.013348422660604516
close,0.01313938427407262
high,0.01298911055740981
range_low,0.012367927176166782
support_price,0.012355518049022473
last_swing_low,0.012284575820935366
day,0.012117812375535301
cpi,0.012022350483846662
last_ob_bottom,0.011573094317637195
previous_swing_low,0.011524516055464184
fvg_v2_age,0.011112296052188306
ob_lifecycle_age,0.010989394597242332
week,0.01091377960163857
equilibrium_price,0.010810817872502073
last_bos_price,0.010707564717595573
timeframe_code,0.01058656641760425
last_ob_top,0.01057502491449896
fed_rate,0.010010919299505315
resistance_price,0.010000657139972873
range_high,0.009860238755098692
previous_swing_high,0.009743580623689845
last_swing_high,0.00939145959410044
liquidity_pool_distance,0.009317518444597876
nfp,0.00829458995649288
ob_lifecycle_touch_count,0.00795219631234902
liquidity_pool_age,0.007901754552370627
day_of_week,0.007332723731640051
buy_setup_score,0.006255097307972079
ob_lifecycle_score,0.006155732998717262
month,0.006033720891391032
higher_low,0.005892937186780888
sell_setup_score,0.005828454619228613
lower_high,0.0056957460986777775
liquidity_pool_price,0.005598943329047718
session,0.00551072027221261
fvg_size,0.005092390429080348
fvg_v2_fill_percent,0.00498206820995593
bos_strength_atr,0.0049707259159811916
lower_low,0.004662855296264666
ob_v2_distance,0.004608507963397472
ob_v2_size_atr,0.004503548128389399
bos_strength_points,0.004502260215448976
fvg_bottom,0.004467054502848936
higher_high,0.004450363740772136
order_block_size,0.0044464003706956405
bos_strength,0.004378262999760268
fvg_top,0.004364943401552609
ob_v2_size,0.004061461988621846
liquidity_sweep_strength,0.004014594971108965
fvg_v2_score,0.003874503884811374
year,0.0036857402961248207
unemployment_rate,0.003003728288536793
liquidity_pool_direction,0.0029995069281849532
liquidity_pool_score,0.002849005098024063
liquidity_sweep,0.0027518598381492854
near_resistance,0.002732194830253324
recent_liquidity_sweep_for_ob,0.0027184863616714077
bos_price,0.002716228263185595
near_support,0.0025533794198947576
ob_v2_midpoint,0.002458244525831633
ob_v2_mitigated,0.002456866456725996
trend,0.0024481402318309495
ob_v2_top,0.002393617500455235
order_block_bottom,0.0023901772660136823
ob_v2_bottom,0.0023870768009768926
order_block_top,0.0023826473913002473
choch_strength_atr,0.002316530377365564
new_york_session,0.002309740433963055
bos_score,0.002257897841527143
recent_fvg,0.0022167005517819732
london_session,0.0022022459462347215
ob_lifecycle_mitigated,0.00218112327292431
asian_session,0.002090903955612261
fvg_v2_partial_fill,0.002090268896091006
fvg,0.0017812419860743778
fvg_direction,0.0017558085973982463
ob_lifecycle_retested,0.0017295045560705448
fvg_v2_active,0.0016414501437141949
sell_side_sweep,0.0016368555258770173
london_new_york_overlap,0.001633888219429427
fvg_v2_complete_fill,0.0016280888030666587
premium_zone,0.0015590416630107502
liquidity_pool_strength,0.0015464704902744169
liquidity_pool_active,0.001534492922127221
ob_lifecycle_invalidated,0.0015135650702009942
ob_lifecycle_active,0.0014752373837370236
discount_zone,0.0014659210829166206
equilibrium_zone,0.0013579371319908148
buy_side_sweep,0.0013505990630594078
ob_v2_score,0.0012775312540455393
fvg_bullish,0.0009407867949117608
fvg_bearish,0.0008821849051375518
bos,0.0008680282347239171
bos_v2_direction,0.0008442353164682164
bos_v2,0.0008376549293252916
ob_v2_confluence_liquidity,0.0006794820457237003
asset_code,0.0006012665785693443
order_block,0.0005846723454441768
ob_v2,0.0005823122872246797
choch_score,0.0005657591043908289
ob_v2_confluence_fvg,0.0005575210105921564
resistance_broken,0.0005259245460926484
bos_confirmed,0.0005196645536721073
choch_v2_direction,0.00047441645593448105
bos_bullish,0.0004736937241444643
choch,0.00045890841548244956
ob_v2_direction,0.00045482511345887257
choch_v2,0.00044519370409900277
choch_confirmed,0.00041383657511010494
bos_event,0.0004136150495055897
choch_event,0.0004003067132338354
trade_setup,0.00039904353874755424
bos_bearish,0.00038998337298189385
support_broken,0.00036948924959928484
liquidity_pool_swept,0.00030836097785438257
ob_v2_confluence_bos,0.00029828521499865166
choch_bullish,0.00025968057635716467
equal_high,0.00023535723288794754
equal_low,0.00023422709837422887
choch_bearish,0.00019936037939027082
buy_setup,0.0001985465093621706
sell_setup,0.00018229700745084045
